Format Version,1.21,Take Name,BengtAnnelieBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.42.55.331 AM,Total Frames in Take,36475,Total Exported Frames,36475,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:561,Unlabeled:561,Unlabeled:561,Unlabeled:562,Unlabeled:562,Unlabeled:562,Unlabeled:552,Unlabeled:552,Unlabeled:552,Unlabeled:555,Unlabeled:555,Unlabeled:555
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
85,0.708333,-1.786932,0.907665,2.075762,-1.094078,0.930010,2.595240,,,,,,,,,
86,0.716667,-1.786408,0.908386,2.076537,-1.094067,0.929876,2.595292,,,,,,,,,
87,0.725000,-1.785890,0.909114,2.077276,-1.094036,0.929784,2.595338,,,,,,,,,
88,0.733333,-1.785413,0.909844,2.078051,-1.093994,0.929717,2.595387,,,,,,,,,
89,0.741667,-1.784917,0.910540,2.078819,-1.093943,0.929682,2.595441,,,,,,,,,
90,0.750000,-1.784470,0.911202,2.079527,-1.093907,0.929669,2.595503,,,,,,,,,
91,0.758333,-1.784096,0.911827,2.080302,-1.093890,0.929685,2.595579,,,,,,,,,
92,0.766667,-1.783820,0.912395,2.081022,-1.093877,0.929710,2.595660,,,,,,,,,
93,0.775000,-1.783587,0.912886,2.081766,-1.093867,0.929755,2.595743,,,,,,,,,
94,0.783333,-1.783486,0.913326,2.082473,-1.093867,0.929814,2.595828,,,,,,,,,
95,0.791667,-1.783335,0.913726,2.083082,-1.093881,0.929888,2.595905,,,,,,,,,
96,0.800000,-1.783294,0.914048,2.083648,-1.093910,0.929973,2.595982,,,,,,,,,
97,0.808333,-1.783329,0.914326,2.084175,-1.093954,0.930056,2.596040,,,,,,,,,
98,0.816667,-1.783418,0.914543,2.084609,-1.094008,0.930119,2.596091,,,,,,,,,
99,0.825000,-1.783544,0.914724,2.084970,-1.094074,0.930183,2.596132,,,,,,,,,
100,0.833333,-1.783687,0.914857,2.085280,-1.094141,0.930234,2.596165,,,,,,,,,
101,0.841667,-1.783857,0.914918,2.085515,-1.094199,0.930277,2.596180,,,,,,,,,
102,0.850000,-1.784026,0.914912,2.085672,-1.094248,0.930310,2.596182,,,,,,,,,
103,0.858333,-1.784176,0.914847,2.085755,-1.094299,0.930343,2.596158,,,,,,,,,
104,0.866667,-1.784335,0.914737,2.085783,-1.094335,0.930359,2.596132,,,,,,,,,
105,0.875000,-1.784589,0.914543,2.085689,-1.094370,0.930363,2.596116,,,,,,,,,
106,0.883333,-1.784694,0.914414,2.085704,-1.094393,0.930362,2.596105,,,,,,,,,
107,0.891667,-1.784937,0.914178,2.085542,-1.094403,0.930368,2.596107,,,,,,,,,
108,0.900000,-1.785077,0.913988,2.085417,-1.094406,0.930386,2.596102,,,,,,,,,
109,0.908333,-1.785112,0.913868,2.085328,-1.094402,0.930422,2.596081,,,,,,,,,
110,0.916667,-1.785247,0.913700,2.085071,-1.094393,0.930460,2.596042,,,,,,,,,
111,0.925000,-1.785276,0.913593,2.084862,-1.094396,0.930510,2.596013,,,,,,,,,
112,0.933333,-1.785282,0.913521,2.084651,-1.094400,0.930551,2.596001,,,,,,,,,
113,0.941667,-1.785260,0.913476,2.084449,-1.094403,0.930587,2.596008,,,,,,,,,
114,0.950000,-1.785134,0.913464,2.084320,-1.094396,0.930612,2.596039,,,,,,,,,
115,0.958333,-1.785188,0.913406,2.084110,-1.094364,0.930611,2.596076,,,,,,,,,
116,0.966667,-1.785152,0.913385,2.083980,-1.094317,0.930600,2.596113,,,,,,,,,
117,0.975000,-1.785119,0.913371,2.083863,-1.094253,0.930567,2.596117,,,,,,,,,
118,0.983333,-1.785101,0.913360,2.083782,-1.094198,0.930517,2.596109,,,,,,,,,
119,0.991667,-1.785131,0.913343,2.083732,-1.094151,0.930453,2.596103,,,,,,,,,
120,1.000000,-1.785170,0.913311,2.083704,-1.094139,0.930376,2.596097,,,,,,,,,
121,1.008333,-1.785221,0.913260,2.083682,-1.094149,0.930303,2.596068,,,,,,,,,
122,1.016667,-1.785255,0.913182,2.083659,-1.094172,0.930234,2.596002,,,,,,,,,
123,1.025000,-1.785281,0.913078,2.083604,-1.094204,0.930181,2.595911,,,,,,,,,
124,1.033333,-1.785306,0.912942,2.083533,-1.094239,0.930133,2.595786,,,,,,,,,
125,1.041667,-1.785348,0.912764,2.083460,-1.094272,0.930082,2.595658,,,,,,,,,
126,1.050000,-1.785410,0.912543,2.083384,-1.094308,0.930031,2.595544,,,,,,,,,
127,1.058333,-1.785497,0.912245,2.083285,-1.094361,0.929977,2.595423,,,,,,,,,
128,1.066667,-1.785570,0.911901,2.083183,-1.094424,0.929927,2.595294,,,,,,,,,
129,1.075000,-1.785587,0.911514,2.083054,-1.094497,0.929892,2.595148,,,,,,,,,
130,1.083333,-1.785570,0.911100,2.082880,-1.094549,0.929868,2.595001,,,,,,,,,
131,1.091667,-1.785516,0.910668,2.082675,-1.094589,0.929876,2.594877,,,,,,,,,
132,1.100000,-1.785421,0.910241,2.082448,-1.094620,0.929905,2.594767,,,,,,,,,
133,1.108333,-1.785274,0.909757,2.082197,-1.094653,0.929942,2.594697,,,,,,,,,
134,1.116667,-1.785108,0.909252,2.081952,-1.094667,0.929989,2.594659,,,,,,,,,
135,1.125000,-1.784953,0.908732,2.081709,-1.094666,0.930040,2.594648,,,,,,,,,
136,1.133333,-1.784705,0.908156,2.081406,-1.094652,0.930103,2.594632,,,,,,,,,
137,1.141667,-1.784390,0.907611,2.081104,-1.094627,0.930177,2.594618,,,,,,,,,
138,1.150000,-1.784047,0.907058,2.080788,-1.094591,0.930251,2.594598,,,,,,,,,
139,1.158333,-1.783655,0.906460,2.080450,-1.094557,0.930309,2.594598,,,,,,,,,
140,1.166667,-1.783253,0.905845,2.080119,-1.094554,0.930341,2.594601,,,,,,,,,
141,1.175000,-1.782868,0.905232,2.079786,-1.094572,0.930349,2.594638,,,,,,,,,
142,1.183333,-1.782473,0.904591,2.079474,-1.094609,0.930329,2.594676,,,,,,,,,
143,1.191667,-1.782019,0.903951,2.079155,-1.094628,0.930307,2.594727,,,,,,,,,
144,1.200000,-1.781517,0.903315,2.078796,-1.094623,0.930285,2.594779,,,,,,,,,
145,1.208333,-1.780978,0.902708,2.078395,-1.094584,0.930286,2.594838,,,,,,,,,
146,1.216667,-1.780383,0.902109,2.077999,-1.094526,0.930303,2.594939,,,,,,,,,
147,1.225000,-1.779793,0.901536,2.077648,-1.094453,0.930319,2.595042,,,,,,,,,
148,1.233333,-1.779137,0.900983,2.077271,-1.094383,0.930334,2.595169,,,,,,,,,
149,1.241667,-1.778447,0.900435,2.076906,-1.094098,0.930422,2.595157,,,,,,,,,
150,1.250000,-1.777693,0.899947,2.076580,-1.094079,0.930495,2.595237,,,,,,,,,
151,1.258333,-1.776817,0.899460,2.076182,-1.094097,0.930519,2.595356,,,,,,,,,
152,1.266667,-1.775885,0.899030,2.075773,-1.094116,0.930558,2.595445,,,,,,,,,
153,1.275000,-1.774917,0.898630,2.075349,-1.094108,0.930571,2.595532,,,,,,,,,
154,1.283333,-1.773812,0.898260,2.074932,-1.094123,0.930582,2.595592,,,,,,,,,
155,1.291667,-1.772690,0.897918,2.074453,-1.094168,0.930558,2.595662,,,,,,,,,
156,1.300000,-1.771438,0.897601,2.074024,-1.094235,0.930502,2.595713,,,,,,,,,
157,1.308333,-1.770138,0.897334,2.073561,-1.094310,0.930418,2.595722,,,,,,,,,
158,1.316667,-1.768716,0.897070,2.073078,-1.094373,0.930318,2.595676,,,,,,,,,
159,1.325000,-1.767255,0.896896,2.072635,-1.094437,0.930219,2.595596,,,,,,,,,
